date,ticker,action,price,shares,reason,nikkei_phase
2026-01-05,8600.T,BUY,795.7599999999999,100,breakout_1p5_entry,stable
2026-01-05,6343.T,BUY,167.475,900,breakout_1p5_entry,stable
2026-01-05,3289.T,BUY,1450.435,100,breakout_1p5_entry,stable
2026-01-05,6379.T,BUY,2469.495,100,breakout_1p5_entry,stable
2026-01-05,4043.T,BUY,4184.844999999999,100,breakout_1p5_entry,stable
2026-01-05,7246.T,BUY,825.0,500,breakout_1p5_entry,stable
2026-01-05,5697.T,BUY,754.0,600,breakout_1p5_entry,stable
2026-01-06,7102.T,BUY,3856.9999999999995,100,condition2_entry,normal
2026-01-06,8387.T,BUY,1825.985,300,condition2_entry,normal
2026-01-09,7722.T,BUY,967.295,100,condition2_entry,normal
2026-01-15,7722.T,SELL,1047.0,100,take_profit,normal
2026-01-16,8600.T,SELL,868.0,100,take_profit,normal
2026-01-16,5697.T,SELL,835.0,600,take_profit,normal
2026-01-16,8387.T,SELL,1978.0,300,take_profit,normal
2026-01-16,5105.T,BUY,4562.424999999999,200,condition2_entry,normal
2026-01-19,6343.T,SELL,178.0,900,sell_signal,surge
2026-01-19,3289.T,SELL,1483.0,100,sell_signal,surge
2026-01-19,6379.T,SELL,2550.0,100,sell_signal,surge
2026-01-19,4043.T,SELL,4411.0,100,sell_signal,surge
2026-01-19,7246.T,SELL,861.0,500,sell_signal,surge
2026-01-19,7102.T,SELL,3930.0,100,sell_signal,surge
2026-01-19,5105.T,SELL,4445.0,200,sell_signal,surge
2026-01-20,6343.T,BUY,180.67,300,q3_post_high_vol_entry,high_vol
2026-01-20,6538.T,BUY,369.46,200,q3_post_high_vol_entry,high_vol
2026-01-20,6317.T,BUY,1868.6149999999998,500,q3_post_high_vol_entry,high_vol
2026-01-20,7619.T,BUY,915.5299999999999,2200,q3_post_high_vol_entry,high_vol
2026-01-22,6538.T,SELL,353.0,200,sell_signal,high_vol
2026-01-22,7619.T,SELL,910.0,2200,sell_signal,high_vol
2026-01-22,5105.T,BUY,4424.384999999999,400,q3_post_high_vol_entry,high_vol
2026-01-23,5105.T,SELL,4446.0,400,sell_signal,high_vol
2026-01-23,2411.T,BUY,508.51499999999993,2100,q3_post_high_vol_entry,high_vol
2026-01-26,6343.T,SELL,175.0,300,sell_signal,downtrend
2026-01-26,6317.T,SELL,1787.0,500,sell_signal,downtrend
2026-01-26,2411.T,SELL,481.0,2100,stop_loss,downtrend
2026-01-27,6743.T,BUY,816.06,100,q3_post_high_vol_entry,high_vol
2026-01-27,6343.T,BUY,177.62499999999997,600,q3_post_high_vol_entry,high_vol
2026-01-28,8343.T,BUY,4694.375,300,q3_post_high_vol_entry,settling
2026-01-29,8343.T,SELL,4845.0,300,sell_signal,settling
2026-01-29,9534.T,BUY,817.0749999999999,1700,q3_post_high_vol_entry,settling
2026-01-30,9534.T,SELL,823.0,1700,sell_signal,settling
2026-01-30,8537.T,BUY,2404.535,200,q3_post_high_vol_entry,settling
2026-01-30,4220.T,BUY,1546.86,700,q3_post_high_vol_entry,settling
2026-02-02,8537.T,SELL,2299.0,200,sell_signal,settling
2026-02-02,4220.T,SELL,1655.0,700,sell_signal,settling
2026-02-02,1946.T,BUY,2075.6749999999997,100,q3_post_high_vol_entry,settling
2026-02-02,1938.T,BUY,2328.0,200,q3_post_high_vol_entry,settling
2026-02-02,7231.T,BUY,3176.95,200,q3_post_high_vol_entry,settling
